,Merged_Courses
['DS_B'],"['BUS_1010', 'BUS_2080', 'OIE_2081', 'BUS_3010', 'ETR_1100', 'ETR_3633']"
['DS_C'],"['DS_1010', 'DS_2010', 'DS_3010']"
"['DS_DE', 'DS_MS']","['MA_1024', 'MA_2051', 'MA_2631', 'MA_2073', 'MA_1023', 'MA_2621', 'MA_4635', 'MA_2431', 'MA_2201', 'MA_3257', 'MA_4214', 'MA_4213', 'MA_4632', 'MA_2210', 'MA_3231', 'MA_4631', 'MA_4237', 'MA_1033']"
"['DS_DE', 'DS_CS']","['CS_2022', 'CS_4445', 'CS_3133', 'CS_2303', 'CS_4432', 'CS_3733', 'CS_3431', 'CS_4341', 'CS_4241', 'CS_4433', 'CS_4233', 'CS_480X', 'CS_4342', 'CS_4802', 'CS_2301', 'DS_4433']"
['DS_DE'],"['CS_3041', 'DS_4635', 'MIS_4084', 'MKT_3650', 'MIS_4720', 'MIS_4741', 'OIE_3460', 'MIS_3720', 'MIS_3787', 'MA_3631', 'MA_4222']"
['DS_MS'],"['MA_2611', 'MA_2071', 'MA_2612', 'MA_1021', 'MA_1022', 'MA_2072', 'MA_1020', 'MA_1120', 'MA_1034', 'MA_4235']"
['DS_NES'],"['AE_DEPT', 'AREN_DEPT', 'BB_DEPT', 'BME_DEPT', 'CHE_DEPT', 'CE_DEPT', 'CH_DEPT', 'ECE_DEPT', 'GE_DEPT', 'ME_DEPT', 'PH_DEPT', 'RBE_DEPT']"
['DS_CS'],"['CS_1004', 'CS_2102', 'CS_2223', 'CS_1102', 'CS_2103', 'CS_1101', 'CS_2119', 'CS_4518']"
['DS_DPE'],"['CS_3043', 'RBE_3100', 'PY_2731', 'GOV_2314', 'GOV_2315', 'GOV_2313']"
